,komentar,score,value,,jika score,maka,,,,,,komentar,score,value
1145,"Knp bnyk bug di apk ini! Bugnya adalah:selalu ada notifikasi dari guru saya, dan banyak tugas yang dikirimkan! Tolong di Fix agar guru saya tidak bisa memberikan tugas di apk ini!",1,NEGATIVE,,,,,,,,1145,"Knp bnyk bug di apk ini! Bugnya adalah:selalu ada notifikasi dari guru saya, dan banyak tugas yang dikirimkan! Tolong di Fix agar guru saya tidak bisa memberikan tugas di apk ini!",1,NEGATIVE
1146,"Susah buat ngirim tugas,masa harus di bikin link dulu kan jd susah mau di jadiin bentuk drive pdf atau ngirim foto lgsg susah bgt keknya",2,NEGATIVE,,,,,,,,1146,"Susah buat ngirim tugas,masa harus di bikin link dulu kan jd susah mau di jadiin bentuk drive pdf atau ngirim foto lgsg susah bgt keknya",2,NEGATIVE
1147,"Aplikasi macam apa ni jlex. Knp kalo mau kirim tugas selalu gabisa y? Padahal sinyal jga bagus. Plz perbaiki, sya jadi lambat kekirim tugasnya gegara ini",1,NEGATIVE,,,,,,,,1147,"Aplikasi macam apa ni jlex. Knp kalo mau kirim tugas selalu gabisa y? Padahal sinyal jga bagus. Plz perbaiki, sya jadi lambat kekirim tugasnya gegara ini",1,NEGATIVE
1148,"apk ini sangat baguss sekali, sangat membantu dalam proses belajar, jadi makin semangat belajar nya,,",5,POSITIVE,,,,,,,,1148,"apk ini sangat baguss sekali, sangat membantu dalam proses belajar, jadi makin semangat belajar nya,,",5,POSITIVE
1149,"Sangat membantu dalam proses pembelajaran,untuk pendidikan dan anak penerus bangsa. Lanjutkan u nb untuk inovasi demi lebih baik lagi.",5,POSITIVE,,,,,,,,1149,"Sangat membantu dalam proses pembelajaran,untuk pendidikan dan anak penerus bangsa. Lanjutkan u nb untuk inovasi demi lebih baik lagi.",5,POSITIVE
1150,Kenapa selama updatenya nya semakin buruk saya ngak bisa nengok tugas yang diberikan kepada guru saya padahal jaringan saya masih lancar,2,NEGATIVE,,,,,,,,1150,Kenapa selama updatenya nya semakin buruk saya ngak bisa nengok tugas yang diberikan kepada guru saya padahal jaringan saya masih lancar,2,NEGATIVE
1151,APK GK GUNA TUGAS MASUK MULU TAPI KALAU DAJ SELESAI GK BISA DIKIRIM KALAU BISA DIKASIH BINTANG 0 AKU KASIH BINTANG 0 APK GK GUNA GK USAH DOWNLOAD!!!! GK BERMANFAAT!!!!!,1,NEGATIVE,,,,,,,,1151,APK GK GUNA TUGAS MASUK MULU TAPI KALAU DAJ SELESAI GK BISA DIKIRIM KALAU BISA DIKASIH BINTANG 0 AKU KASIH BINTANG 0 APK GK GUNA GK USAH DOWNLOAD!!!! GK BERMANFAAT!!!!!,1,NEGATIVE
1152,"maaf knp skrng susah bgt ya ngirim tugas, setiap mau send tugas pasti gabisa udah nyoba di hp org juga ttp gabisa, tolong di perbaiki dong",2,NEGATIVE,,,,,,,,1152,"maaf knp skrng susah bgt ya ngirim tugas, setiap mau send tugas pasti gabisa udah nyoba di hp org juga ttp gabisa, tolong di perbaiki dong",2,NEGATIVE
1153,Sangat bagus aplikasi ini sgt bagus untuk belajar karna mempermudah kita untuk belajar tanpa pergi ke sekolah Hebat bgt yg buat nih apk Tapi saya kasih bintang 1 karna saya tidak suka belajar,1,NEGATIVE,,,,,,,,1153,Sangat bagus aplikasi ini sgt bagus untuk belajar karna mempermudah kita untuk belajar tanpa pergi ke sekolah Hebat bgt yg buat nih apk Tapi saya kasih bintang 1 karna saya tidak suka belajar,1,NEGATIVE
1154,Kalo pas mau kirim tugas pasti loadingnya lama banget. Kalo bisa dipercepat lagi loadingnya agar tidak membuang waktu.,1,NEGATIVE,,,,,,,,1154,Kalo pas mau kirim tugas pasti loadingnya lama banget. Kalo bisa dipercepat lagi loadingnya agar tidak membuang waktu.,1,NEGATIVE
1155,Kenapa gak ada notif classroom nya? Pas saya cek tugas sudah numpuk Hadehh bikin kesel aja nih aplikasi Mana mau gak mau harus gw pakek,1,NEGATIVE,,,,,,,,1155,Kenapa gak ada notif classroom nya? Pas saya cek tugas sudah numpuk Hadehh bikin kesel aja nih aplikasi Mana mau gak mau harus gw pakek,1,NEGATIVE
1156,Terima Kasih Google Classroom karena sudah menemani saya dalam belajar di masa pandemi bahkan bukan cuma saya seluruh pelajar pun terbantu dengan hadir nya Google Classroom Terima Kasih Google Classroom,5,POSITIVE,,,,,,,,1156,Terima Kasih Google Classroom karena sudah menemani saya dalam belajar di masa pandemi bahkan bukan cuma saya seluruh pelajar pun terbantu dengan hadir nya Google Classroom Terima Kasih Google Classroom,5,POSITIVE
1157,Tolong dong kalau menghapus pesan udah hilang aja jangan kalo udah hapus pesan tapi guru nya masih bisa liat tolong di perbaiki!,1,NEGATIVE,,,,,,,,1157,Tolong dong kalau menghapus pesan udah hilang aja jangan kalo udah hapus pesan tapi guru nya masih bisa liat tolong di perbaiki!,1,NEGATIVE
1158,Ko tidak ada fitur penyerahan tugas!!!! Ini saya sedang mau kirim tugas ke GC nya°°°!!!!! Tolong perbaiki segera,2,NEGATIVE,,,,,,,,1158,Ko tidak ada fitur penyerahan tugas!!!! Ini saya sedang mau kirim tugas ke GC nya°°°!!!!! Tolong perbaiki segera,2,NEGATIVE
1159,"Sangat berguna,tetapi ada masalah yaitu ada notifikasi yang mengganggu",1,NEGATIVE,,,,,,,,1159,"Sangat berguna,tetapi ada masalah yaitu ada notifikasi yang mengganggu",1,NEGATIVE
1160,Kekurangan nya adalah proses loading sangatlah lama guru sudah memberi absen akan tetapi ini lama banget jadi ya agak lambat dah itu saja mohon diperbaiki waktu loading nya🙅🇮🇩🇮🇩🥰🥰🤪,1,NEGATIVE,,,,,,,,1160,Kekurangan nya adalah proses loading sangatlah lama guru sudah memberi absen akan tetapi ini lama banget jadi ya agak lambat dah itu saja mohon diperbaiki waktu loading nya🙅🇮🇩🇮🇩🥰🥰🤪,1,NEGATIVE
1161,"Mau unggah apapun lama banget. Telat ngumpulin tugas dah gw, padahal cuman unggah gambar satu ae lelet banget.",1,NEGATIVE,,,,,,,,1161,"Mau unggah apapun lama banget. Telat ngumpulin tugas dah gw, padahal cuman unggah gambar satu ae lelet banget.",1,NEGATIVE
1162,Ada bug yg sangat menggangu kadang saya pas lagi santay tiba tiba ada notif dari classroom dan itu sangat menggangu saya saat sedang santai,1,NEGATIVE,,,,,,,,1162,Ada bug yg sangat menggangu kadang saya pas lagi santay tiba tiba ada notif dari classroom dan itu sangat menggangu saya saat sedang santai,1,NEGATIVE
1163,Apilkasih ini gak ada angin gak ada hujan tiba gw bangun dari tidur ada notifikasi tugas gak jelas lain kali gak usah buat apilkasih ini buat orang bodo aja bukan nya pintar,2,NEGATIVE,,,,,,,,1163,Apilkasih ini gak ada angin gak ada hujan tiba gw bangun dari tidur ada notifikasi tugas gak jelas lain kali gak usah buat apilkasih ini buat orang bodo aja bukan nya pintar,2,NEGATIVE
1164,"Gk jelas aplikasinya, masa baru bangun tidur udh di spam notif dari sini aja😑",1,NEGATIVE,,,,,,,,1164,"Gk jelas aplikasinya, masa baru bangun tidur udh di spam notif dari sini aja😑",1,NEGATIVE
1165,"Aplikasi kurang bagus, semoga diperbagus dan dipermudah cara pemakainya.",2,NEGATIVE,,,,,,,,1165,"Aplikasi kurang bagus, semoga diperbagus dan dipermudah cara pemakainya.",2,NEGATIVE
1166,Terimakasih moonton berkat aplikasi ini saya makin rajin lagi belajar onlen walaupun tidak satupun materi yg nyangkol di otak saya:),4,POSITIVE,,,,,,,,1166,Terimakasih moonton berkat aplikasi ini saya makin rajin lagi belajar onlen walaupun tidak satupun materi yg nyangkol di otak saya:),4,POSITIVE
1167,"apk nya bagus aja ko, buat yang ngasi rating 1 trs ulasannya ""banyak tugas numpuk"" heh cumi tugas numpuk ya krna lu kga pernah ngerjain tugass, jgn malah nyalahin apknyaa astagfirullah greget gua. katanya sekolah tolong otaknya dipake trs pola pikirnya dibenerin juga🙏",5,POSITIVE,,,,,,,,1167,"apk nya bagus aja ko, buat yang ngasi rating 1 trs ulasannya ""banyak tugas numpuk"" heh cumi tugas numpuk ya krna lu kga pernah ngerjain tugass, jgn malah nyalahin apknyaa astagfirullah greget gua. katanya sekolah tolong otaknya dipake trs pola pikirnya dibenerin juga🙏",5,POSITIVE
1168,Kalian kalo mau update liat dulu komen ny jelek apa engga klo jelek berarti ada masalah sama GC ny untung kali ini belum update jadi g rusak GC ku🤣💗,5,POSITIVE,,,,,,,,1168,Kalian kalo mau update liat dulu komen ny jelek apa engga klo jelek berarti ada masalah sama GC ny untung kali ini belum update jadi g rusak GC ku🤣💗,5,POSITIVE
1169,Kenapa 2 hari ini minta download ya setiap mau buka link dr gcr tolong infonya,1,NEGATIVE,,,,,,,,1169,Kenapa 2 hari ini minta download ya setiap mau buka link dr gcr tolong infonya,1,NEGATIVE
1170,Tolong lah diperbaikin tentang masalah notifikasi masa gurunya ngirim tugas pukul 08.00 masa baru muncul notifikasi di hp gua 30 menit yang lalu :(,1,NEGATIVE,,,,,,,,1170,Tolong lah diperbaikin tentang masalah notifikasi masa gurunya ngirim tugas pukul 08.00 masa baru muncul notifikasi di hp gua 30 menit yang lalu :(,1,NEGATIVE
1171,Ini aplikasi udah bagus TAPI banyak sekali bugnya apalagi tugas yang pake tipe langsung tulis jawabannya... TOLONG DI PERBAIKI LAGI.........,2,NEGATIVE,,,,,,,,1171,Ini aplikasi udah bagus TAPI banyak sekali bugnya apalagi tugas yang pake tipe langsung tulis jawabannya... TOLONG DI PERBAIKI LAGI.........,2,NEGATIVE
1172,"Tolong buat Google classroom di perbaikilah aplikasi nya,ini sangat tidak efesien buat belajar online.Di karena sangat lambat sekali. Sekian terima.",1,NEGATIVE,,,,,,,,1172,"Tolong buat Google classroom di perbaikilah aplikasi nya,ini sangat tidak efesien buat belajar online.Di karena sangat lambat sekali. Sekian terima.",1,NEGATIVE
1173,Bangun tidur ada notif masuk tolong cepat hapus apk ini semenjak ada apk ini saya sering bertengkar dengan orang tua saya dan jiga apk ini dimusnahkan mungkin hari besok tidak akan ada sekolah online,1,NEGATIVE,,,,,,,,1173,Bangun tidur ada notif masuk tolong cepat hapus apk ini semenjak ada apk ini saya sering bertengkar dengan orang tua saya dan jiga apk ini dimusnahkan mungkin hari besok tidak akan ada sekolah online,1,NEGATIVE
1174,"Buat anak ku nanti di masa depan, bacalah komen ayah mu ini, dulu ayah pernah menginstal apk ini dan skrng ayah bukan semakin pintar tpi semakin goblokkkkk ajg!!!",1,NEGATIVE,,,,,,,,1174,"Buat anak ku nanti di masa depan, bacalah komen ayah mu ini, dulu ayah pernah menginstal apk ini dan skrng ayah bukan semakin pintar tpi semakin goblokkkkk ajg!!!",1,NEGATIVE
1175,"Bagus sih..tapi klo mau upload tugas tuh lama banget,tolong perbaiki di bagian ngeupload nya ya🙏....",1,NEGATIVE,,,,,,,,1175,"Bagus sih..tapi klo mau upload tugas tuh lama banget,tolong perbaiki di bagian ngeupload nya ya🙏....",1,NEGATIVE
1176,"Aplikasi ga jelas udh banyak bug lagi, masa lagi enak enak tidur ada notif tugas kan gajelas!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!Jangan di download",1,NEGATIVE,,,,,,,,1176,"Aplikasi ga jelas udh banyak bug lagi, masa lagi enak enak tidur ada notif tugas kan gajelas!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!Jangan di download",1,NEGATIVE
1177,"Alhamdulillah berkat aplikasi ini aku lebih gampang beljarnya dan tugas yg diberikan guru itu jelas ,tepat dan ngak ribet",4,POSITIVE,,,,,,,,1177,"Alhamdulillah berkat aplikasi ini aku lebih gampang beljarnya dan tugas yg diberikan guru itu jelas ,tepat dan ngak ribet",4,POSITIVE
1178,Aplikasi nya bagus banget Tapi karena saya jahat jadi saya kasih bintang 1,1,NEGATIVE,,,,,,,,1178,Aplikasi nya bagus banget Tapi karena saya jahat jadi saya kasih bintang 1,1,NEGATIVE
1179,"Tolong lh ya depoloper ilangin dong bug muncul tugas dari hari senin sampe sabtu,,otak saya bisa² meledak bngst tolong lh kerjasamanya gua tau lu di suap sama guru2 supaya bug tugas muncul terus menerus,,pening bngst belum lagi zomm meeting lu kira gua kerja di kantor pake meeting² an telek lhh",1,NEGATIVE,,,,,,,,1179,"Tolong lh ya depoloper ilangin dong bug muncul tugas dari hari senin sampe sabtu,,otak saya bisa² meledak bngst tolong lh kerjasamanya gua tau lu di suap sama guru2 supaya bug tugas muncul terus menerus,,pening bngst belum lagi zomm meeting lu kira gua kerja di kantor pake meeting² an telek lhh",1,NEGATIVE
1180,"Ini kenapa yah kok pemberitahuan tugas aku nggak ada di classroom sih? Kenapa sih,,,padahal udah mau deadline,,perbaiki cepat dong",1,NEGATIVE,,,,,,,,1180,"Ini kenapa yah kok pemberitahuan tugas aku nggak ada di classroom sih? Kenapa sih,,,padahal udah mau deadline,,perbaiki cepat dong",1,NEGATIVE
1181,Di aplikasi ini masih terlalu banyak bug masa saya lagi tiduran tiba tiba ada notifikasi suruh mengerjakan tugas tolong yah dari pihak developer diperbaiki bug Bug ini sungguh meresahkan tau,1,NEGATIVE,,,,,,,,1181,Di aplikasi ini masih terlalu banyak bug masa saya lagi tiduran tiba tiba ada notifikasi suruh mengerjakan tugas tolong yah dari pihak developer diperbaiki bug Bug ini sungguh meresahkan tau,1,NEGATIVE
1182,"Setelah saya update notifikasi tugas tidak muncul,padahal sebelum saya update notifikasi muncul dan baik baik saja tidak ada masalah,saya jadi malas update",1,NEGATIVE,,,,,,,,1182,"Setelah saya update notifikasi tugas tidak muncul,padahal sebelum saya update notifikasi muncul dan baik baik saja tidak ada masalah,saya jadi malas update",1,NEGATIVE
1183,Sebenarnya kalau nggak belajar daring mungkin apk ini nggak di download . ya krn butuh mau gimana lagi padahal memori hp penuh nggak ada lagi ruang penyimpanan,5,POSITIVE,,,,,,,,1183,Sebenarnya kalau nggak belajar daring mungkin apk ini nggak di download . ya krn butuh mau gimana lagi padahal memori hp penuh nggak ada lagi ruang penyimpanan,5,POSITIVE
1184,Sebelumnya bagus tapi knp setelah saya perbarui gk bisa ngirim tugas gmn dong udah hari terakhir ini tolong gimana bantuannya sinyal udah bahus dari kemarin gk bisa,1,NEGATIVE,,,,,,,,1184,Sebelumnya bagus tapi knp setelah saya perbarui gk bisa ngirim tugas gmn dong udah hari terakhir ini tolong gimana bantuannya sinyal udah bahus dari kemarin gk bisa,1,NEGATIVE
1185,Belajar Pendidikan melalui media internet semoga tetap semangat dan dimudahkan segala urusan sekolah didalam pandemi sekarang ini,5,POSITIVE,,,,,,,,1185,Belajar Pendidikan melalui media internet semoga tetap semangat dan dimudahkan segala urusan sekolah didalam pandemi sekarang ini,5,POSITIVE
1186,Fandom gensin mengontx,5,POSITIVE,,,,,,,,1186,Fandom gensin mengontx,5,POSITIVE
1187,Aplikasi nya sangat bagus tapi Sering muncul tugas mendadak padahal saya sedang Beristirahat Mohon di perbaiki Bug Tugas yg Membuat saya Sakit kepala Saat baru bangun Mohon di perhatikan!!,1,NEGATIVE,,,,,,,,1187,Aplikasi nya sangat bagus tapi Sering muncul tugas mendadak padahal saya sedang Beristirahat Mohon di perbaiki Bug Tugas yg Membuat saya Sakit kepala Saat baru bangun Mohon di perhatikan!!,1,NEGATIVE
1188,Aplikasi nya bagus bangettt!! Tapi nonfikasi tugas ny sangat menggangu sy🙏,5,POSITIVE,,,,,,,,1188,Aplikasi nya bagus bangettt!! Tapi nonfikasi tugas ny sangat menggangu sy🙏,5,POSITIVE
1189,"Mohon maaf ni bapa ibu sekalian ini apk banyak bug nya masa saya baru bangun udh ada notif tugas secepatnya di fiks lah ini bug sangat meresahkan anak anak ini apk,yg setuju siapa ni kalo bug nya di fiks",1,NEGATIVE,,,,,,,,1189,"Mohon maaf ni bapa ibu sekalian ini apk banyak bug nya masa saya baru bangun udh ada notif tugas secepatnya di fiks lah ini bug sangat meresahkan anak anak ini apk,yg setuju siapa ni kalo bug nya di fiks",1,NEGATIVE
1190,"Aplikasi ini sangat bagus karena dapat mempermudah proses pembelajaran online,apalagi disaat pandemic seperti saat ini.",5,POSITIVE,,,,,,,,1190,"Aplikasi ini sangat bagus karena dapat mempermudah proses pembelajaran online,apalagi disaat pandemic seperti saat ini.",5,POSITIVE
1191,"Aplikasi ga jelas banyak bug, tiba tiba notif pelajaran bikin otak jadi stres",1,NEGATIVE,,,,,,,,1191,"Aplikasi ga jelas banyak bug, tiba tiba notif pelajaran bikin otak jadi stres",1,NEGATIVE
1192,Aplikasinya gak bagus!!!!!!!!!!!!!!?!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!¡!!!¡!!¡!!!!!!!!!!!!¡!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! !!!!!!!!!!!!!!!!!!!!!!!!!!!?!???????!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!'!!!???!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!??!!!!!!!!!!!!!! Tapi bohong ngapain nengok bawah kan dah di blng bgs,5,POSITIVE,,,,,,,,1192,Aplikasinya gak bagus!!!!!!!!!!!!!!?!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!¡!!!¡!!¡!!!!!!!!!!!!¡!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! !!!!!!!!!!!!!!!!!!!!!!!!!!!?!???????!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!'!!!???!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!??!!!!!!!!!!!!!! Tapi bohong ngapain nengok bawah kan dah di blng bgs,5,POSITIVE
1193,"Aku dah komen PANJANG2 lah malah ilang ngakak..sehabis di update makin ga bener, perasaan apk yg lain 100jt install aja ga Ampe begini lololol..bikin kesel para pelajar aja 🤣🤣bug ga bisa nyerahin, sering ga ada notif alias notif kadang delay 20 menit'an padahal sinyal WiFi buat buka sosmed berat bisa wkakakakak🤣 BAD APK FOR STUDENTS. NGIRIM TUGAS AJA GA BISA😪😪MASIH BLUM BISA MAAFIN CLASSROOM KRNA SERING NOTIF GA MUNCUL DAN KENDALA LAINNYA..KALO BISA NOL BINTANG, AKU KASIH NOL.",1,NEGATIVE,,,,,,,,1193,"Aku dah komen PANJANG2 lah malah ilang ngakak..sehabis di update makin ga bener, perasaan apk yg lain 100jt install aja ga Ampe begini lololol..bikin kesel para pelajar aja 🤣🤣bug ga bisa nyerahin, sering ga ada notif alias notif kadang delay 20 menit'an padahal sinyal WiFi buat buka sosmed berat bisa wkakakakak🤣 BAD APK FOR STUDENTS. NGIRIM TUGAS AJA GA BISA😪😪MASIH BLUM BISA MAAFIN CLASSROOM KRNA SERING NOTIF GA MUNCUL DAN KENDALA LAINNYA..KALO BISA NOL BINTANG, AKU KASIH NOL.",1,NEGATIVE
1194,"Lelet dalam pengiriman tugas padahal koneksi bagus benci banget ama nih app coba aja ada aplikasi kayak gini dan lebih bagus, udah lama aku hapus nih app tolong diperbaiki",1,NEGATIVE,,,,,,,,1194,"Lelet dalam pengiriman tugas padahal koneksi bagus benci banget ama nih app coba aja ada aplikasi kayak gini dan lebih bagus, udah lama aku hapus nih app tolong diperbaiki",1,NEGATIVE
1195,Sudah jelek gagu saaat main pula!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! Apk ganggu orang main ff,1,NEGATIVE,,,,,,,,1195,Sudah jelek gagu saaat main pula!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! Apk ganggu orang main ff,1,NEGATIVE
1196,Alhamdulillah tugas saya jadi banyak. Harus bangun pagi abis bangun langsung ngerjain tugas pokok nya tugas saya banyak dan otak saya mulai panas gara² banyak tugas terimakasih google kelas :'),5,POSITIVE,,,,,,,,1196,Alhamdulillah tugas saya jadi banyak. Harus bangun pagi abis bangun langsung ngerjain tugas pokok nya tugas saya banyak dan otak saya mulai panas gara² banyak tugas terimakasih google kelas :'),5,POSITIVE
1197,"Aplikasi apa ini, udh bikin saya dan teman saya stress. Tiap pagi selalu ada notif banyak. Intinya apk ini harus dihapus dari dunia",1,NEGATIVE,,,,,,,,1197,"Aplikasi apa ini, udh bikin saya dan teman saya stress. Tiap pagi selalu ada notif banyak. Intinya apk ini harus dihapus dari dunia",1,NEGATIVE
1198,Buat Kalian yang gak bisa kirim hapus dulu di google Drive beberapa Baru kirim,1,NEGATIVE,,,,,,,,1198,Buat Kalian yang gak bisa kirim hapus dulu di google Drive beberapa Baru kirim,1,NEGATIVE
1199,Permisi saya mau tanya saya ini berumur 12thn cuman saya harus memakai goggle Classroom karena saya sudah smp tapi knp harus ada pengawasan orang tua yah Sekian terimakasih,1,NEGATIVE,,,,,,,,1199,Permisi saya mau tanya saya ini berumur 12thn cuman saya harus memakai goggle Classroom karena saya sudah smp tapi knp harus ada pengawasan orang tua yah Sekian terimakasih,1,NEGATIVE
1200,"jelek, entah kenapa tidak ada notifikasi ketika guru memberi materi, hal ini menyebabkan banyak tugas yang terlewat",2,NEGATIVE,,,,,,,,1200,"jelek, entah kenapa tidak ada notifikasi ketika guru memberi materi, hal ini menyebabkan banyak tugas yang terlewat",2,NEGATIVE
1201,Ini aplikasi nya bagus tapi kok sering ada notif tugas tolong google perbaiki lagi,5,POSITIVE,,,,,,,,1201,Ini aplikasi nya bagus tapi kok sering ada notif tugas tolong google perbaiki lagi,5,POSITIVE
1202,Selamat pagi tugas selamat siang tugas selamat malam tugas. TUGAS EVERYTIME,1,NEGATIVE,,,,,,,,1202,Selamat pagi tugas selamat siang tugas selamat malam tugas. TUGAS EVERYTIME,1,NEGATIVE
1203,"Saya tidak bisa melampirkan file seperti photo dan video saat saya akan mengirim tugas ke anak, minta tolong penjelasannya",1,NEGATIVE,,,,,,,,1203,"Saya tidak bisa melampirkan file seperti photo dan video saat saya akan mengirim tugas ke anak, minta tolong penjelasannya",1,NEGATIVE
1204,"Udh di update tp klo pas ngirim tugas file atau video leletnya minta ampun, ampe nunggu 4 jam sampe batre habis pdhl jaringan lancar aja",1,NEGATIVE,,,,,,,,1204,"Udh di update tp klo pas ngirim tugas file atau video leletnya minta ampun, ampe nunggu 4 jam sampe batre habis pdhl jaringan lancar aja",1,NEGATIVE
1205,"Aplikasi yang sangat jelek, ini merugikan para murid seperti kami, banyak bug tugas dalam apk ini, coba fix bug nya semoga gaada lagi tugas2nya",1,NEGATIVE,,,,,,,,1205,"Aplikasi yang sangat jelek, ini merugikan para murid seperti kami, banyak bug tugas dalam apk ini, coba fix bug nya semoga gaada lagi tugas2nya",1,NEGATIVE
1206,Bagus apk ny tapi klo saya mau ngirimin tugas lama bnget pending. Tolong di perbaiki lgi ya supaya lebih cepat terkirim.,4,POSITIVE,,,,,,,,1206,Bagus apk ny tapi klo saya mau ngirimin tugas lama bnget pending. Tolong di perbaiki lgi ya supaya lebih cepat terkirim.,4,POSITIVE
1207,"Kok saya nggak bisa ngirim tugas Vidio ya? Loadingnya lama padahal kuota masih banyak , ditungguin pun tetep nggak ke kirim 🙄",4,POSITIVE,,,,,,,,1207,"Kok saya nggak bisa ngirim tugas Vidio ya? Loadingnya lama padahal kuota masih banyak , ditungguin pun tetep nggak ke kirim 🙄",4,POSITIVE
1208,Aslinya sih bagus tapi kok ada notif tugas ya. Itu sangat mengganggu,1,NEGATIVE,,,,,,,,1208,Aslinya sih bagus tapi kok ada notif tugas ya. Itu sangat mengganggu,1,NEGATIVE
1209,"Masak kelas yang udah ada di e mailnya jadi nggak ada ilang kelasnya kan nilai gua ilang tugas IPS tiga cuman 1 yang ada di clasroom yang selesai padahal kan sudah semua ilaaaaaaaang nilai gue dasar memang pantes ini gogle clasroom bubar, gue ada email 2 yanv satu email sekolah yang satu lagi emai gue yang di email gue ada tu kelas IPS di email di sekolah ada udah ngirim tugas eh kok kelas nya ilang yang di email sekolah gogle antuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuu",1,NEGATIVE,,,,,,,,1209,"Masak kelas yang udah ada di e mailnya jadi nggak ada ilang kelasnya kan nilai gua ilang tugas IPS tiga cuman 1 yang ada di clasroom yang selesai padahal kan sudah semua ilaaaaaaaang nilai gue dasar memang pantes ini gogle clasroom bubar, gue ada email 2 yanv satu email sekolah yang satu lagi emai gue yang di email gue ada tu kelas IPS di email di sekolah ada udah ngirim tugas eh kok kelas nya ilang yang di email sekolah gogle antuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuu",1,NEGATIVE
1210,"risih banget sama patch baru,bug nya aneh aneh masa gua lagi sarapan tiba tiba udah ada tugas 6 :(",1,NEGATIVE,,,,,,,,1210,"risih banget sama patch baru,bug nya aneh aneh masa gua lagi sarapan tiba tiba udah ada tugas 6 :(",1,NEGATIVE
1211,"Sangat lemot, bahkan untuk membuka tugas saja butuh waktu berjam-jam",1,NEGATIVE,,,,,,,,1211,"Sangat lemot, bahkan untuk membuka tugas saja butuh waktu berjam-jam",1,NEGATIVE
1212,Apk ini bagus banget ya bisa ngebantu kita buat ngirim tugas jadi lebih mudah terus bisa tau mana tugas yang belom di kerjain pokok nya kerennn dehhh!💜 Borahaeee,5,POSITIVE,,,,,,,,1212,Apk ini bagus banget ya bisa ngebantu kita buat ngirim tugas jadi lebih mudah terus bisa tau mana tugas yang belom di kerjain pokok nya kerennn dehhh!💜 Borahaeee,5,POSITIVE
1213,Ada bug yang sangat mengganggu pengguna yaitu bug tugas setiap saya bangun tidur selalu ada notifikasi tugas tolong bug nya di fix agar guru saya tidak lagi memberi tugas,1,NEGATIVE,,,,,,,,1213,Ada bug yang sangat mengganggu pengguna yaitu bug tugas setiap saya bangun tidur selalu ada notifikasi tugas tolong bug nya di fix agar guru saya tidak lagi memberi tugas,1,NEGATIVE
